-0.055749,0.01975,-0.0047589,149.61,-0.0002353,-0.67337,0.054372
-0.061884,0.016472,-0.00086702,149.06,-0.00011385,-0.67619,0.025472
-0.060657,0.014604,-0.0019924,149.86,9.3756e-06,-0.67892,-0.0036249
-0.061806,0.019078,0.0010745,149.92,0.00013415,-0.68155,-0.032915
-0.055161,0.015669,-0.0047732,150.74,0.00026028,-0.68409,-0.062394
-0.05563,0.017509,-0.0044549,148.47,0.00038755,-0.68653,-0.092057
-0.060632,0.017361,-0.0032788,150.28,0.00051579,-0.68887,-0.1219
-0.055952,0.016911,-0.0017083,150.85,0.00064484,-0.69111,-0.15192
-0.055409,0.018723,-0.0022485,149.31,0.00077452,-0.69326,-0.18211
-0.057473,0.018283,-0.0036705,149.24,0.0009047,-0.69531,-0.21247
-0.057505,0.018133,-0.0023472,148.19,0.0010352,-0.69726,-0.24299
-0.058021,0.017915,-0.002625,150.26,0.001166,-0.6991,-0.27366
-0.060404,0.01858,-0.0055128,148.49,0.0012969,-0.70085,-0.3045
-0.06143,0.017893,-0.0031861,149.92,0.0014277,-0.70249,-0.33547
-0.058661,0.017531,-0.0042647,149.57,0.0015584,-0.70404,-0.3666
-0.058879,0.01618,-0.003151,150.34,0.0016888,-0.70547,-0.39786
-0.058702,0.020572,-0.0016791,149.75,0.001819,-0.70681,-0.42926
-0.061542,0.015938,-0.002376,148.58,0.0019486,-0.70804,-0.46079
-0.059964,0.017237,-0.0016479,149.79,0.0020777,-0.70916,-0.49244
-0.060552,0.012353,-0.0044122,148.12,0.0022062,-0.71018,-0.52421
-0.055327,0.019194,-0.0024668,149.51,0.002334,-0.71109,-0.5561
-0.056366,0.017111,-0.0039194,148.68,0.0024609,-0.7119,-0.58809
-0.056957,0.018735,-0.0046973,149.78,0.002587,-0.7126,-0.6202
-0.060297,0.017392,-0.0020732,149.5,0.002712,-0.71319,-0.6524
-0.060871,0.016399,-0.00025841,149.01,0.0028359,-0.71367,-0.6847
-0.05936,0.016137,-0.0030997,151.32,0.0029587,-0.71404,-0.71709
-0.056507,0.016983,-0.0036302,148.26,0.0030803,-0.7143,-0.74956
-0.057834,0.017155,-0.0030691,149.57,0.0032004,-0.71446,-0.78212
-0.057918,0.018388,-0.0062975,149.4,0.0033192,-0.7145,-0.81475
-0.056617,0.016965,-0.00043077,151.41,0.0034364,-0.71443,-0.84745
-0.061666,0.014203,-0.0033506,149.64,0.0035521,-0.71425,-0.88021
-0.060734,0.01504,-0.0022343,150.3,0.003666,-0.71396,-0.91304
-0.057436,0.015674,-0.0034189,151.83,0.0037782,-0.71355,-0.94591
-0.058651,0.01445,-0.0050931,149.34,0.0038885,-0.71304,-0.97884
-0.058028,0.014551,-0.004412,149.32,0.0039968,-0.71241,-1.0118
-0.062108,0.016385,-0.0038544,149.86,0.0041031,-0.71166,-1.0448
-0.058459,0.014868,-0.0025873,148.22,0.0042072,-0.7108,-1.0779
-0.05828,0.016903,-0.0026941,149.66,0.0043092,-0.70983,-1.1109
-0.057005,0.014908,-0.0033869,149.8,0.0044087,-0.70875,-1.144
-0.057566,0.015005,-0.0026886,148.27,0.0045059,-0.70755,-1.1771
-0.060414,0.018467,-0.005028,148.99,0.0046005,-0.70623,-1.2103
-0.056059,0.01509,-0.0047049,149.77,0.0046926,-0.7048,-1.2434
-0.057795,0.014383,-0.0040362,149.24,0.0047819,-0.70325,-1.2765
-0.057672,0.018661,-0.0066959,148.32,0.0048685,-0.70159,-1.3096
-0.059654,0.015108,-0.0050226,150.46,0.0049521,-0.69981,-1.3428
-0.059692,0.016172,-0.003055,148.32,0.0050328,-0.69792,-1.3759
